game_code,Date,attendance,season
200910270CLE,27/10/2009,20562,2009-10
200910270DAL,27/10/2009,19871,2009-10
200910270POR,27/10/2009,20403,2009-10
200910270LAL,27/10/2009,18997,2009-10
200910280ATL,28/10/2009,17998,2009-10
200910280ORL,28/10/2009,17461,2009-10
200910280TOR,28/10/2009,20152,2009-10
200910280BOS,28/10/2009,18624,2009-10
200910280MIA,28/10/2009,19600,2009-10
200910280SAS,28/10/2009,18581,2009-10
200910280OKC,28/10/2009,18203,2009-10
200910280MIN,28/10/2009,18358,2009-10
200910280MEM,28/10/2009,17212,2009-10
200910280LAC,28/10/2009,15974,2009-10
200910280GSW,28/10/2009,19596,2009-10
200910280DEN,28/10/2009,19155,2009-10
200910290CHI,29/10/2009,21412,2009-10
200910290POR,29/10/2009,20218,2009-10
200910300CHA,30/10/2009,18624,2009-10
200910300PHI,30/10/2009,14638,2009-10
200910300ATL,30/10/2009,17079,2009-10
200910300NOH,30/10/2009,17306,2009-10
200910300NJN,30/10/2009,17525,2009-10
200910300MIN,30/10/2009,19356,2009-10
200910300MEM,30/10/2009,10563,2009-10
200910300IND,30/10/2009,18165,2009-10
200910300DET,30/10/2009,22076,2009-10
200910300BOS,30/10/2009,18624,2009-10
200910300UTA,30/10/2009,19911,2009-10
200910300PHO,30/10/2009,18422,2009-10
200910300LAL,30/10/2009,18997,2009-10
200910310WAS,31/10/2009,20173,2009-10
200910310NYK,31/10/2009,19763,2009-10
200910310CLE,31/10/2009,20562,2009-10
200910310HOU,31/10/2009,18100,2009-10
200910310MIL,31/10/2009,15095,2009-10
200910310SAS,31/10/2009,16966,2009-10
200910310LAC,31/10/2009,13626,2009-10
200911010TOR,01/11/2009,18147,2009-10
200911010BOS,01/11/2009,18624,2009-10
200911010MIA,01/11/2009,15865,2009-10
200911010OKC,01/11/2009,16920,2009-10
200911010DEN,01/11/2009,15823,2009-10
200911010PHO,01/11/2009,15376,2009-10
200911010LAL,01/11/2009,18997,2009-10
200911020CHA,02/11/2009,9380,2009-10
200911020NYK,02/11/2009,19763,2009-10
200911020UTA,02/11/2009,19911,2009-10
200911020SAC,02/11/2009,17317,2009-10
200911020LAC,02/11/2009,13614,2009-10
200911030CLE,03/11/2009,20562,2009-10
200911030IND,03/11/2009,10627,2009-10
200911030PHI,03/11/2009,11251,2009-10
200911030DET,03/11/2009,15487,2009-10
200911030MIA,03/11/2009,15105,2009-10
200911030CHI,03/11/2009,19789,2009-10
200911030OKC,03/11/2009,18203,2009-10
200911030DAL,03/11/2009,19725,2009-10
200911030POR,03/11/2009,20325,2009-10
200911040ORL,04/11/2009,17461,2009-10
200911040TOR,04/11/2009,17915,2009-10
200911040WAS,04/11/2009,17413,2009-10
200911040NJN,04/11/2009,15319,2009-10
200911040NYK,04/11/2009,19273,2009-10
200911040MIN,04/11/2009,19133,2009-10
200911040HOU,04/11/2009,18291,2009-10
200911040NOH,04/11/2009,13566,2009-10
200911040SAC,04/11/2009,11751,2009-10
200911040GSW,04/11/2009,17457,2009-10
200911050CLE,05/11/2009,20562,2009-10
200911050UTA,05/11/2009,19797,2009-10
200911060CHA,06/11/2009,15874,2009-10
200911060IND,06/11/2009,14556,2009-10
200911060ORL,06/11/2009,17461,2009-10
200911060PHI,06/11/2009,10054,2009-10
200911060BOS,06/11/2009,18624,2009-10
200911060MIA,06/11/2009,19600,2009-10
200911060MIN,06/11/2009,13758,2009-10
200911060NOH,06/11/2009,15010,2009-10
200911060NYK,06/11/2009,19763,2009-10
200911060HOU,06/11/2009,14911,2009-10
200911060GSW,06/11/2009,18788,2009-10
200911060LAL,06/11/2009,18997,2009-10
200911060POR,06/11/2009,20498,2009-10
200911070ATL,07/11/2009,17801,2009-10
200911070NJN,07/11/2009,16119,2009-10
200911070CHI,07/11/2009,21108,2009-10
200911070DAL,07/11/2009,19977,2009-10
200911070MIL,07/11/2009,15486,2009-10
200911070UTA,07/11/2009,18825,2009-10
200911070LAC,07/11/2009,15399,2009-10
200911080DET,08/11/2009,17187,2009-10
200911080WAS,08/11/2009,14143,2009-10
200911080OKC,08/11/2009,18203,2009-10
200911080POR,08/11/2009,20306,2009-10
200911080SAC,08/11/2009,10760,2009-10
200911080LAL,08/11/2009,18997,2009-10
200911090PHI,09/11/2009,10205,2009-10
200911090NYK,09/11/2009,19355,2009-10
200911090SAS,09/11/2009,17714,2009-10
200911090GSW,09/11/2009,15468,2009-10
200911090LAC,09/11/2009,14760,2009-10
200911100CHA,10/11/2009,13415,2009-10
200911100MIA,10/11/2009,15054,2009-10
200911100CHI,10/11/2009,21409,2009-10
200911100MEM,10/11/2009,10589,2009-10
200911100DAL,10/11/2009,19720,2009-10
200911100SAC,10/11/2009,10523,2009-10
200911110IND,11/11/2009,10682,2009-10
200911110TOR,11/11/2009,16310,2009-10
200911110BOS,11/11/2009,18624,2009-10
200911110DET,11/11/2009,15417,2009-10
200911110NJN,11/11/2009,10714,2009-10
200911110NYK,11/11/2009,19699,2009-10
200911110MIL,11/11/2009,12987,2009-10
200911110MIN,11/11/2009,13555,2009-10
200911110ORL,11/11/2009,17461,2009-10
200911110HOU,11/11/2009,17220,2009-10
200911110SAS,11/11/2009,18581,2009-10
200911110LAC,11/11/2009,14248,2009-10
200911110PHO,11/11/2009,16517,2009-10
200911120MIA,12/11/2009,19600,2009-10
200911120LAL,12/11/2009,18997,2009-10
200911130ORL,13/11/2009,17461,2009-10
200911130PHI,13/11/2009,10738,2009-10
200911130NYK,13/11/2009,19763,2009-10
200911130BOS,13/11/2009,18624,2009-10
200911130MIN,13/11/2009,12372,2009-10
200911130NOH,13/11/2009,14742,2009-10
200911130SAC,13/11/2009,11762,2009-10
200911130DEN,13/11/2009,19141,2009-10
200911130LAC,13/11/2009,15615,2009-10
200911140ATL,14/11/2009,18572,2009-10
200911140CHA,14/11/2009,15872,2009-10
200911140IND,14/11/2009,18165,2009-10
200911140WAS,14/11/2009,20173,2009-10
200911140CLE,14/11/2009,20562,2009-10
200911140MIA,14/11/2009,17124,2009-10
200911140CHI,14/11/2009,21837,2009-10
200911140MEM,14/11/2009,10019,2009-10
200911140MIL,14/11/2009,14978,2009-10
200911140SAS,14/11/2009,17947,2009-10
200911150DET,15/11/2009,18215,2009-10
200911150OKC,15/11/2009,17715,2009-10
200911150PHO,15/11/2009,16605,2009-10
200911150LAL,15/11/2009,18997,2009-10
200911160ATL,16/11/2009,12977,2009-10
200911160ORL,16/11/2009,17461,2009-10
200911160MIL,16/11/2009,13683,2009-10
200911170CLE,17/11/2009,20562,2009-10
200911170MIA,17/11/2009,14443,2009-10
200911170NJN,17/11/2009,11332,2009-10
200911170NOH,17/11/2009,13116,2009-10
200911170HOU,17/11/2009,16396,2009-10
200911170DEN,17/11/2009,16446,2009-10
